year,name,id,delegates,percent_of_delegates,popular_vote,did_dropout,Order,weighted_page_rank_jan,page_rank_jan,donor_funds_jan,PAC_funds_jan,total_funds_jan,closeness_centrality_jan,page_rank_feb,donor_funds_feb,PAC_funds_feb,total_funds_feb,closeness_centrality_feb,page_rank_mar,donor_funds_mar,PAC_funds_mar,total_funds_mar,total_funds_mar-jan,closeness_centrality_marweighted_page_rank_jan,pacs_contributing_jan,direct_individual_donors_jan,all_individual_donors_jan,pac_n_clique_overlap_jan,all_n_clique_overlap_jan,pacs_in_community_jan
1980,Jimmy Carter,C00129445,2123,0.647453492,51.13,0,1,0.004219158,0.00425988,0,282948,282948,0.315797,0.00403294,0,332607,332607,0.317832,0.0047731,0,390237,390237,107289,0.3194310.00421915777147,166,3,5158,0.0327,0.1527,1183
1980,Ted Kennedy,C00115022,1151,0.351021653,37.58,0,2,0.006888485,0.00628027,2047309,1315282,3362591,0.331899,0.00689849,2413608,1407348,3820956,0.334493,0.00736084,2809478,1692914,4502392,1139801,0.336430.00688848466035,36,3547,5634,0.0262,0.1818,746
1980,Jerry Brown,C00253914,1,0.000304971,2.93,0,3,0.00012079,9.78E-05,0,14096,14096,0.283178,0.000138319,0,18096,18096,0.285036,0.000303515,0,19646,19646,5550,0.2960690.000120790371444,6,1,414,0.0216,0.1602,1183
1980,Lyndon LaRouche,C00364091,0,0,0.91,1,4,NA,1.80E-06,0,0,0,0.255724,1.65E-06,0,0,0,0.255437,1.48E-06,0,0,0,0,0.255485NA,0,0,0,0,0,0
1980,Richard B Kay,C00111492,0,0,0.25,1,5,4.26E-06,3.33E-06,9630,0,9630,1,3.05E-06,9630,0,9630,1,2.74E-06,9630,0,9630,0,1.43E-05,0,1,1,0,0,1
1980,Cliff Finch,C00120915,4,0.001219884,0.25,0,6,NA,1.80E-06,0,0,0,0.255724,1.65E-06,0,0,0,0.255437,1.48E-06,0,20000,20000,20000,0.32055NA,0,0,0,0,0,0
1980,Ronald Reagan,C00186312,1,0.037037037,59.79,0,1,0.000257993,1.52E-03,0,117665,117665,0.300744,0.00167518,0,179043,179043,0.303434,0.00162204,0,292839,292839,175174,0.3074320.000257992523628,35,1,1972,0.1243,0.3045,174
1980,George H.W. Bush,C00273516,2,0.074074074,23.81,0,2,0.002057899,2.03E-03,0,51983,51983,0.303613,0.00202014,0,69143,69143,0.305954,0.00232124,0,122620,122620,70637,0.3125770.00205789919647,65,0,2472,0.1404,0.3484,59
1980,John Anderson,C00126417,3,0.111111111,12.19,0,3,0.000161619,3.44E-04,0,18193,18193,0.294718,0.000332986,0,18493,18493,0.295097,0.000354503,1000,65766,66766,48573,0.2982590.000161618911337,18,0,913,0.1234,0.3106,746
1980,Howard Baker,C00107466,4,0.148148148,1.41,1,4,0.007136903,0.0068863,1666465,727070,2393535,0.335612,0.00702796,1850721,1159340,3010061,0.337874,0.0066613,2064306,1813574,3877880,1484345,0.3385440.00713690278318,58,3567,6230,0.0741,0.3534,746
1980,Phil Crane,C00100834,5,0.185185185,0.76,1,5,0.001540904,0.00181597,353942,36049,389991,0.324158,0.00177705,385267,46049,431316,0.324672,0.0015934,405272,46049,451321,61330,0.3255860.00154090412537,15,870,1547,0.0378,0.2879,174
1980,John Connally,C00107318,6,0.222222222,0.53,1,6,0.027116729,0.0227358,7212564,430325,7642889,0.361834,0.021593,7630130,544754,8174884,0.362016,0.0206514,8252618,1166044,9418662,1775773,0.36130.027116728771,149,11828,16423,0.0526,0.2854,47
1980,Ben Fernandez,C00212480,6,0.222222222,0.2,1,7,6.26E-05,6.61E-05,0,2175,2175,0.267338,6.03E-05,0,2175,2175,0.267616,4.56E-05,0,2175,2175,0,0.2718866.25510609952e-05,2,0,139,0.0339,0.0942,35
1980,Harold Stassen,C00108639,0,0,0.2,1,8,1.20E-05,1.95E-05,12502,100,12602,0.273719,8.60E-05,12502,650,13152,0.325539,0.000114307,12502,750,13252,650,0.3267271.20109859015e-05,1,6,49,0.0077,0.0406,15
1984,Walter Mondale,C00186296,2191,0.56454522,56.41,0,1,0.000435077,2.72E-03,0,89826,89826,0.308454,0.00248043,0,138057,138057,0.308252,0.00246045,0,352480,352480,262654,0.3146030.000435077183366,52,7,1033,0.0582,0.1821,2495
1984,Gary Hart,C00214452,1201,0.309456326,30.92,0,2,0.000125323,9.45E-05,0,2550,2550,0.291817,9.09E-05,0,2550,2550,0.291092,7.13E-05,0,2550,2550,0,0.2899160.000125322522696,5,0,307,0.0544,0.1952,2495
1984,Jesse Jackson,C00217893,466,0.120072146,12,0,3,0.000287738,1.27E-04,0,2980,2980,0.247324,0.000188342,0,5980,5980,0.28324,0.00018453,0,10080,10080,7100,0.2942040.000287737761591,7,0,229,0.0446,0.1415,14
1984,Thomas Eagleton,C00029488,18,0.00463798,0.46,1,4,0.017137103,8.33E-06,0,0,0,0.212625,7.78E-06,0,0,0,0.212381,7.05E-06,0,0,0,0,0.2129280.0171371026312,186,4553,6414,0.197,0.3265,64
1984,John Glenn,C00164855,2,0.000515331,0.05,1,5,0.017137103,0.0127024,3743780,1019166,4762946,0.339924,0.0119351,3889955,1494866,5384821,0.342052,0.0108851,4055046,3905031,7960077,3197131,0.3422930.0171371026312,186,4553,6414,0.197,0.3265,64
1984,George McGovern,C00170407,2,0.000515331,0.1,1,6,0.000214284,0.000135329,42500,30925,73425,0.241551,0.000126129,44500,46979,91479,0.244674,0.000132121,53750,221979,275729,202304,0.2862470.000214283811563,3,53,98,0.0085,0.0251,64
1984,Martha Kirkland,C00159392,1,0.000257666,0.03,1,7,0.004740411,0.00361849,1131260,2336227,3467487,0.326981,0.00355311,1239810,3507656,4747466,0.326854,0.00340221,1313860,3561607,4875467,1407980,0.3270460.00474041058738,90,1363,2825,0.0513,0.1953,190
1984,Ronald Reagan,C00186312,2231,0.999104344,97.78,0,1,0.000205199,6.74E-04,0,482668,482668,0.302434,0.0008462,0,645288,645288,0.314146,0.00161022,0,1267070,1267070,784402,0.3183290.000205199458329,44,0,1935,0,0,2495
1984,Harold Stassen,C00218909,2,0.000895656,0.19,0,2,NA,2.68E-06,0,0,0,0.526316,2.45E-06,0,0,0,0.526316,2.18E-06,0,0,0,0,0.526316NA,0,0,0,0,0,0
1988,Michael Dukakis,C00227629,2877,0.701536211,67.9,0,1,0.00025855,1.44E-03,0,32167,32167,0.286828,0.00135503,0,48117,48117,0.29721,0.00125568,0,101576,101576,69409,0.3019380.000258550488531,20,1,509,0.0488,0.1124,2433
1988,Jesse Jackson,C00217893,1219,0.297244574,29.34,0,2,0.001186325,0.000926611,379828,131994,511822,0.314604,0.00111256,478817,205740,684557,0.315243,0.00131263,594962,843065,1438027,926205,0.3183330.00118632483661,26,487,1468,0.0672,0.1514,9
1988,Al Gore,C00360982,0,0,13.49,0,3,0.000982849,9.64E-04,0,193785,193785,0.313321,0.000940733,0,208285,208285,0.31302,0.00105339,0,250747,250747,56962,0.3159720.000982848548608,107,0,2217,0.0767,0.1272,2433
1988,Dick Gephardt,C00384123,2,0.000487686,6.14,1,4,0.001369745,1.64E-03,0,334122,334122,0.324105,0.00162097,0,366610,366610,0.324627,0.0017932,0,489867,489867,155745,0.3266620.00136974543746,205,0,4569,0.0709,0.1077,2433
1988,Paul Simon,C00168807,0,0,4.68,0,5,8.37E-05,1.05E-04,44000,20700,64700,0.296554,0.000103031,44000,24700,68700,0.298127,9.95E-05,44000,25322,69322,4622,0.3005538.36873590171e-05,13,45,780,0.0254,0.0791,30
1988,Gary Hart,C00214452,1,0.000243843,1.65,1,6,0.002562475,0.00177248,1275583,39054,1314637,0.306444,0.00167955,1300258,39159,1339417,0.305678,0.00153843,1308705,42602,1351307,36670,0.3096480.00256247522849,5,1483,1613,0.0094,0.0368,5
1988,Bruce Babbitt,C00213017,0,0,0.36,1,7,0.002448044,0.00157112,1225225,536186,1761411,0.312472,0.00164115,1372175,1316186,2688361,0.315014,0.00171941,1449225,1531302,2980527,1219116,0.3171360.00244804366395,10,1336,2269,0.0394,0.1174,130
1988,Jim Traficant,C00218941,0,0,0.13,1,8,4.46E-05,3.61E-05,11502,2500,14002,0.244488,3.60E-05,14422,2500,16922,0.247184,4.08E-05,17922,2540,20462,6460,0.2619164.46278078258e-05,2,19,35,0.0057,0.0395,1
1988,Joe Biden,C00431916,2,0.000487686,0,1,9,0.000999452,4.23E-04,0,14799,14799,0.282026,0.000393631,0,16444,16444,0.28219,0.00036,0,16444,16444,1645,0.2823550.000999452015796,7,0,390,0.0303,0.0938,2433
1988,Lyndon LaRouche,C00364091,0,0,0.32,1,10,NA,1.44E-06,0,0,0,0.247732,0.0005275,0,2000,2000,0.203928,0.000579401,0,5000,5000,5000,0.204331NA,0,0,0,0,0,0
1988,David Duke,C00256735,0,0,0.19,1,11,NA,1.44E-06,0,0,0,0.247732,1.34E-06,0,0,0,0.247467,1.23E-06,0,0,0,0,0.249342NA,0,0,0,0,0,0
1988,George H.W. Bush,C00273516,0,NA,67.9,0,1,0.003957482,3.56E-03,0,651444,651444,0.319961,0.00338115,0,690519,690519,0.319394,0.00323058,0,750971,750971,99527,0.3207320.00395748235917,255,0,3042,0.1049,0.1175,2433
1988,Bob Dole,C00317743,0,NA,19.19,1,2,0.005119053,2.67E-03,0,872721,872721,0.314135,0.00274443,0,999099,999099,0.315384,0.00264454,0,1101345,1101345,228624,0.3153010.00511905321204,277,0,3706,0.0904,0.1119,153
1988,Pat Robertson,C00218214,0,NA,9.02,0,3,0.004118041,0.00253419,1885291,1677550,3562841,0.294111,0.00259268,2078031,8718484,10796515,0.29413,0.00265006,2279547,10610506,12890053,9327212,0.2973160.0041180412351,8,1988,2204,0.0037,0.0365,130
