year,party,name,id,delegates,percent_of_delegates,popular_vote,weighted_page_rank,pacs_contributing,direct_individual_donors,all_individual_donors,pac_n_clique_overlap,all_n_clique_overlap,community_size,pacs_in_community
1980,d,Jimmy Carter,C00129445,2123,0.647453491918,51.13,0.00421915777147,166,3,5158,0.0327,0.1527,15879,1183
1980,d,Ted Kennedy,C00115022,1151,0.351021652943,37.58,0.00688848466035,36,3547,5634,0.0262,0.1818,16989,746
1980,d,Jerry Brown,C00253914,1,0.000304971027752,2.93,0.000120790371444,6,1,414,0.0216,0.1602,15879,1183
1980,d,Lyndon LaRouche,C00364091,0,0.0,0.91,NA,0,0,0,0.0,0.0,0,0
1980,d,Richard B Kay,C00111492,0,0.0,0.25,4.26374457183e-06,0,1,1,0.0,0.0,2,1
1980,d,Cliff Finch,C00120915,4,0.00121988411101,0.25,NA,0,0,0,0.0,0.0,0,0
1980,r,Ronald Reagan,C00186312,1,0.037037037037,59.79,0.000257992523628,35,1,1972,0.1243,0.3045,4408,174
1980,r,George H.W. Bush,C00273516,2,0.0740740740741,23.81,0.00205789919647,65,0,2472,0.1404,0.3484,6944,59
1980,r,John Anderson,C00126417,3,0.111111111111,12.19,0.000161618911337,18,0,913,0.1234,0.3106,16989,746
1980,r,Howard Baker,C00107466,4,0.148148148148,1.41,0.00713690278318,58,3567,6230,0.0741,0.3534,16989,746
1980,r,Phil Crane,C00100834,5,0.185185185185,0.76,0.00154090412537,15,870,1547,0.0378,0.2879,4408,174
1980,r,John Connally,C00107318,6,0.222222222222,0.53,0.027116728771,149,11828,16423,0.0526,0.2854,11398,47
1980,r,Ben Fernandez,C00212480,6,0.222222222222,0.2,6.25510609952e-05,2,0,139,0.0339,0.0942,1916,35
1980,r,Harold Stassen,C00108639,0,0.0,0.2,1.20109859015e-05,1,6,49,0.0077,0.0406,814,15
1984,d,Walter Mondale,C00186296,2191,0.564545220304,56.41,0.000435077183366,52,7,1033,0.0582,0.1821,16767,2495
1984,d,Gary Hart,C00214452,1201,0.309456325689,30.92,0.000125322522696,5,0,307,0.0544,0.1952,16767,2495
1984,d,Jesse Jackson,C00217893,466,0.120072146354,12,0.000287737761591,7,0,229,0.0446,0.1415,227,14
1984,d,Thomas Eagleton,C00164855,18,0.00463797990209,0.46,0.0171371026312,186,4553,6414,0.197,0.3265,4401,64
1984,d,John Glenn,C00164855,2,0.000515331100232,0.05,0.0171371026312,186,4553,6414,0.197,0.3265,4401,64
1984,d,George McGovern,C00170407,2,0.000515331100232,0.1,0.000214283811563,3,53,98,0.0085,0.0251,939,64
